iter	Passed	Remaining
692	16577	7343
693	16604	7321
694	16630	7298
695	16677	7284
696	16699	7259
697	16732	7239
698	16775	7223
699	16800	7200
700	16831	7179
701	16859	7157
702	16889	7135
703	16912	7110
704	16930	7084
705	16955	7060
706	16982	7038
707	16998	7010
708	17016	6984
709	17033	6957
710	17050	6930
711	17067	6903
712	17084	6877
713	17099	6849
714	17118	6823
715	17148	6801
716	17175	6779
717	17193	6752
718	17211	6726
719	17230	6700
720	17246	6673
721	17261	6646
722	17280	6620
723	17298	6594
724	17314	6567
725	17337	6543
726	17355	6517
727	17374	6491
728	17394	6466
729	17410	6439
730	17426	6412
731	17447	6387
732	17463	6361
733	17479	6334
734	17508	6312
735	17528	6287
736	17550	6262
737	17566	6236
738	17590	6212
739	17606	6186
740	17625	6160
741	17658	6140
742	17704	6123
743	17725	6099
744	17746	6074
745	17769	6050
746	17791	6025
747	17821	6004
748	17849	5981
749	17872	5957
750	17896	5933
751	17927	5912
752	17975	5896
753	17997	5871
754	18020	5847
755	18041	5823
756	18066	5799
757	18088	5775
758	18218	5784
759	18306	5781
760	18335	5758
761	18376	5739
762	18411	5718
763	18440	5696
764	18501	5683
765	18570	5673
766	18613	5654
767	18661	5637
768	18690	5614
769	18725	5593
770	18749	5568
771	18770	5543
772	18786	5516
773	18804	5490
774	18820	5463
775	18840	5438
776	18857	5412
777	18875	5385
778	18893	5359
779	18908	5333
780	18925	5306
781	18942	5280
782	18990	5263
783	19020	5240
784	19046	5216
785	19067	5191
786	19089	5166
787	19113	5142
788	19133	5116
789	19156	5092
790	19179	5067
791	19199	5042
792	19238	5021
793	19266	4998
794	19288	4973
795	19314	4949
796	19334	4924
797	19364	4901
798	19404	4881
799	19431	4857
800	19459	4834
801	19503	4815
802	19533	4792
803	19570	4770
804	19611	4750
805	19662	4732
806	19700	4711
807	19735	4689
808	19770	4667
809	19805	4645
810	19831	4621
811	19854	4596
812	19879	4572
813	19906	4548
814	19928	4523
815	19953	4499
816	19975	4474
817	20003	4450
818	20026	4425
819	20048	4400
820	20070	4375
821	20091	4350
822	20114	4326
823	20135	4300
824	20171	4278
825	20204	4256
826	20232	4232
827	20279	4212
828	20316	4190
829	20337	4165
830	20362	4141
831	20390	4117
832	20423	4094
833	20446	4069
834	20471	4045
835	20495	4020
836	20514	3994
837	20533	3969
838	20550	3943
839	20566	3917
840	20583	3891
841	20599	3865
842	20616	3839
843	20639	3814
844	20663	3790
845	20683	3765
846	20708	3740
847	20735	3716
848	20761	3692
849	20781	3667
850	20803	3642
851	20826	3617
852	20853	3593
853	20875	3568
854	20897	3544
855	20921	3519
856	20976	3500
857	21004	3476
858	21026	3451
859	21051	3426
860	21074	3402
861	21095	3377
862	21113	3351
863	21132	3326
864	21150	3300
865	21167	3275
866	21183	3249
867	21203	3224
868	21228	3200
869	21260	3176
870	21289	3153
871	21309	3127
872	21332	3103
873	21368	3080
874	21408	3058
875	21424	3032
876	21451	3008
877	21476	2984
878	21493	2958
879	21509	2933
880	21530	2908
881	21554	2883
882	21573	2858
883	21590	2833
884	21610	2808
885	21629	2783
886	21650	2758
887	21672	2733
888	21691	2708
889	21707	2682
890	21724	2657
891	21743	2632
892	21761	2607
893	21781	2582
894	21796	2557
895	21814	2532
896	21831	2506
897	21847	2481
898	21863	2456
899	21880	2431
900	21897	2406
901	21913	2380
902	21930	2355
903	21950	2330
904	21967	2306
905	21989	2281
906	22005	2256
907	22021	2231
908	22038	2206
909	22055	2181
910	22073	2156
911	22090	2131
912	22106	2106
913	22125	2081
914	22150	2057
915	22170	2033
916	22195	2008
917	22215	1984
918	22238	1960
919	22260	1935
920	22285	1911
921	22307	1887
922	22326	1862
923	22345	1837
924	22361	1813
925	22377	1788
926	22394	1763
927	22413	1738
928	22429	1714
929	22448	1689
930	22464	1664
931	22483	1640
932	22499	1615
933	22517	1591
934	22533	1566
935	22550	1541
936	22567	1517
937	22585	1492
938	22601	1468
939	22619	1443
940	22636	1419
941	22653	1394
942	22670	1370
943	22686	1345
944	22704	1321
945	22721	1296
946	22740	1272
947	22757	1248
948	22774	1223
949	22791	1199
950	22809	1175
951	22827	1150
952	22845	1126
953	22862	1102
954	22878	1078
955	22896	1053
956	22912	1029
957	22932	1005
958	22949	981
959	22966	956
960	22982	932
961	23001	908
962	23015	884
963	23035	860
964	23051	836
965	23070	812
966	23087	787
967	23104	763
968	23120	739
969	23141	715
970	23158	691
971	23175	667
972	23193	643
973	23210	619
974	23242	595
975	23265	572
976	23295	548
977	23318	524
978	23342	500
979	23367	476
980	23392	453
981	23416	429
982	23438	405
983	23470	381
984	23504	357
985	23529	334
986	23562	310
987	23588	286
988	23609	262
989	23636	238
990	23661	214
991	23686	191
992	23704	167
993	23720	143
994	23739	119
995	23757	95
996	23775	71
997	23815	47
998	23843	23
999	23875	0
